date,stock_id,source,title,sentiment_score,impact_intensity,certainty,time_horizon,summary,evidence,reason
2022-08-25 01:03,2330,ETtoday財經雲,台股反彈漲逾80點！指數站回15100 台積電彈逾0.4% - ETtoday財經雲,0.6,1.0,1.0,0.8,台股反彈漲逾80點，影響台積電,新聞標題中提到台股指數站回15100，並且特別提到台積電（2330）跌超0.4%,因為新聞標題表現出來的是一個比較正面的消息，但是對於台積電的影響卻是負面的，表示股票市場中有著多種風險和變化
2022-08-25 01:10,2330,udn.com,台股開盤上漲36點 台積電開盤上漲2元 - udn.com,0.5,0.6,1.0,0.8,台股開盤上漲對2330的影響中立,台股開盤上漲36點，顯示整體市場趨勢良好，但沒有特別強調2330的表現,新聞標題未提及2330的具體數據或表現
2022-08-25 02:04,2330,財訊,今日財經大事搶先看：台積電大客戶Nvidia獲利遇逆風將聚焦車用晶片業務、資金警訊M1B、M2死亡交叉 - 財訊,-0.8,0.7,0.9,0.4,台積電大客戶Nvidia獲利受影響,今日財經大事搶先看：台積電大客戶Nvidia獲利遇逆風將聚焦車用晶片業務,標題提及Nvidia獲利遇逆風，對台積電影響強度較高
2022-08-25 02:40,2330,風傳媒,台積電3奈米改良版N3E傳佳音：進度超前良率優 - 風傳媒,0.8,0.9,1.0,0.4,台積電3奈米改良版N3E進行良好,新聞標題指出進度超前，良率優,新聞標題表明正面消息，公司進展順利
2022-08-25 05:20,2330,經濟日報,台積電因艾司摩爾EUV變吃電怪獸 2025年耗能估占全台12% - 經濟日報,-0.9,0.8,1.0,0.4,台積電因艾司摩爾EUV變吃電怪獸,新聞標題指出台積電將耗能估計占全台12%,新聞標題中提到台積電的耗能問題，表明對公司的影響不佳
2022-08-25 05:57,2330,Yahoo奇摩股市,電子、航運帶頭衝 台積電漲5元 台股勁揚130點 - Yahoo奇摩股市,0.8,1.0,1.0,0.8,台積電股價漲5元,電子、航運帶頭衝 台積電漲5元 台股勁揚130點,新聞標題中提及台積電的股價上升
2022-08-25 06:08,2330,MSN,台積電反彈，台股重返季線，電子中小型股活蹦亂跳 - MSN,0.7,0.8,1.0,0.4,台積電反彈帶動台股重回季線,新聞標題中提到台積電反彈以及電子中小型股活躍,新聞標題中的詞句表明市場情緒正朝向穩定且有利於電子股的趨勢
2022-08-25 07:00,2330,自由財經,索尼：台積電將成為九州復活的契機 - 自由財經,0.8,0.7,1.0,0.4,台積電被視為九州復活的契機,索尼表示將台積電視為九州復活的關鍵,新聞標題強調了台積電在九州復活中的重要性
2022-08-25 07:00,2330,Yahoo奇摩股市,《半導體》傳明年晶圓代工價續漲 台積電不評論 - Yahoo奇摩股市,-0.7,0.8,0.6,0.4,晶圓代工價續漲對台積電的影響,"半導體傳明年晶圓代工價續漲,對台積電可能產生負面影響","新聞標題指出半導體相關產業預估明年會有變化,而台積電與此產業相關"
2022-08-25 07:00,2330,經濟日報,IC設計業呼喚台積電讓利 - 經濟日報,-0.8,1.0,0.9,0.4,IC設計業讓利喊台積電,IC設計業呼喚台積電讓利 - 經濟日報,標題顯示 IC 設計業需要讓利，且提及台積電，這意味著投資人可能會將注意力轉向台積電並預期其股價上漲
2022-08-25 07:00,2330,Yahoo奇摩新聞,快訊／台股漲逾120點重返15300點！台積電漲近1% - Yahoo奇摩新聞,0.8,1.0,1.0,0.8,台股上漲，台積電也上漲近 1%,新聞標題顯示台股和台積電都有升幅,新聞標題顯示台股和台積電都有升幅，因此推測對台積電的影響是正面的
2022-08-25 07:00,2330,自由財經,成本上揚 傳台積電明年1月起續漲價3％-6％ - 自由財經,-0.5,0.8,0.7,0.4,台積電明年1月起成本上揚,傳台積電明年1月起續漸漸漲價3％-6％,新聞標題表明了未來成本上揚的趨勢，影響強度為0.8，表示較有力。
2022-08-25 07:00,2330,Yahoo奇摩股市,傳明年1月晶圓代工漲價 台積電：不評論價格問題 - Yahoo奇摩股市,-0.8,0.7,0.9,0.4,晶圓代工漲價或會影響台積電的收入,"傳明年1月晶圓代工漲價,台積電不評論價格問題",標題中提及晶圓代工漲價可能對台積電造成負面影響
2022-08-25 07:00,2330,ETtoday財經雲,台積電漲近1%！ 台股漲130點、站上15200收復月線 - ETtoday財經雲,1.0,0.8,1.0,0.8,台積電漲近1%，影響台股,新聞標題指出台積電的股價上漲,由於台積電是整個市場的重要指標之一，股價上漲對整體市場產生了正面的影響
2022-08-25 07:00,2330,聯合新聞網,通膨成本上漲吃不消 台積電明年報價平均傳漲3%起跳 - 聯合新聞網,-0.7,0.5,0.9,0.8,台積電股價可能會上漲,通膨成本上漲對於台積電有負面影響，預期明年報價平均傳漲3%起跳,新聞標題表明通膨成本的上漲對台積電股價產生了負面的影響，因此評分為極大利空。
2022-08-25 07:00,2330,經濟日報,IC設計業呼喚台積電讓利| 今晨必讀| 要聞| 經濟日報 - 經濟日報,-0.8,0.9,1.0,0.8,IC設計業對台積電的影響可能導致利益讓利,標題提到 IC 設計業呼喚台積電讓利,根據標題分析，表明 IC 設計業可能受到影響，導致台積電需要讓利
2022-08-25 07:00,2330,Yahoo奇摩股市,【台盤盤後】台積電突破月線 台股收漲日K棒連2紅 - Yahoo奇摩股市,0.8,0.7,1.0,0.8,台積電突破月線,新聞標題,突破月線表現為強項，預示短期市場可能回升
