date,stock_id,source,title
8/25/2022 1:03,2330,ETtoday財經雲,台股反彈漲逾80點！指數站回15100 台積電彈逾0.4% - ETtoday財經雲
8/25/2022 1:10,2330,udn.com,台股開盤上漲36點 台積電開盤上漲2元 - udn.com
8/25/2022 2:04,2330,財訊,今日財經大事搶先看：台積電大客戶Nvidia獲利遇逆風將聚焦車用晶片業務、資金警訊M1B、M2死亡交叉 - 財訊
8/25/2022 2:40,2330,風傳媒,台積電3奈米改良版N3E傳佳音：進度超前良率優 - 風傳媒
8/25/2022 5:20,2330,經濟日報,台積電因艾司摩爾EUV變吃電怪獸 2025年耗能估占全台12% - 經濟日報
8/25/2022 5:57,2330,Yahoo奇摩股市,電子、航運帶頭衝 台積電漲5元 台股勁揚130點 - Yahoo奇摩股市
8/25/2022 6:08,2330,MSN,台積電反彈，台股重返季線，電子中小型股活蹦亂跳 - MSN
8/25/2022 7:00,2330,自由財經,索尼：台積電將成為九州復活的契機 - 自由財經
8/25/2022 7:00,2330,Yahoo奇摩股市,《半導體》傳明年晶圓代工價續漲 台積電不評論 - Yahoo奇摩股市
8/25/2022 7:00,2330,經濟日報,IC設計業呼喚台積電讓利 - 經濟日報
8/25/2022 7:00,2330,Yahoo奇摩新聞,快訊／台股漲逾120點重返15300點！台積電漲近1% - Yahoo奇摩新聞
8/25/2022 7:00,2330,自由財經,成本上揚 傳台積電明年1月起續漲價3％-6％ - 自由財經
8/25/2022 7:00,2330,Yahoo奇摩股市,傳明年1月晶圓代工漲價 台積電：不評論價格問題 - Yahoo奇摩股市
8/25/2022 7:00,2330,ETtoday財經雲,台積電漲近1%！ 台股漲130點、站上15200收復月線 - ETtoday財經雲
8/25/2022 7:00,2330,聯合新聞網,通膨成本上漲吃不消 台積電明年報價平均傳漲3%起跳 - 聯合新聞網
8/25/2022 7:00,2330,經濟日報,IC設計業呼喚台積電讓利| 今晨必讀| 要聞| 經濟日報 - 經濟日報
8/25/2022 7:00,2330,Yahoo奇摩股市,【台盤盤後】台積電突破月線 台股收漲日K棒連2紅 - Yahoo奇摩股市
8/25/2022 9:30,2330,旺得富 WantRich,《證交所》今日單一證券鉅額成交股票：台積電、中信金、矽力*-KY - 旺得富 WantRich
8/25/2022 23:21,2330,經濟日報,台積電ADR上漲2.4% 隨費半反彈 - 經濟日報
8/26/2022 0:52,2330,udn.com,台積電因艾司摩爾EUV變「吃電怪獸」 2025年耗能估占全台12% - udn.com
8/26/2022 1:14,2330,udn.com,台股早盤漲逾百點 台積電開盤上漲5元 - udn.com
8/26/2022 1:18,2330,Yahoo奇摩新聞,快訊／台股漲逾120點重返15300點！台積電漲近1% - Yahoo奇摩新聞
8/26/2022 1:49,2330,Yahoo奇摩新聞,台股開盤重返萬五 台積電、聯發科、鴻海都漲 - Yahoo奇摩新聞
8/26/2022 3:27,2330,工商時報,半導體產業明星股 台積電、創意、穎崴 - 工商時報
8/26/2022 3:43,2330,Yahoo奇摩股市,《半導體》傳明年晶圓代工價續漲 台積電不評論 - Yahoo奇摩股市
8/26/2022 5:18,2330,鉅亨網,台積電將量產3奈米 市占率仍可望領先三星 - 鉅亨網
8/26/2022 6:12,2330,Yahoo奇摩股市,【台盤盤後】台積電突破月線 台股收漲日K棒連2紅 - Yahoo奇摩股市
8/26/2022 7:00,2330,ETtoday財經雲,外媒指台積電「吃電怪獸」 護國神山急澄清：用1度就替全球省4度 - ETtoday財經雲
8/26/2022 7:00,2330,Yahoo奇摩股市,企業若踩中國紅線 德智庫：台積電被報復風險最低 - Yahoo奇摩股市
8/26/2022 7:00,2330,聯合新聞網,500元的台積電可以買嗎？用財報公式算出合理股價| 聯合新聞網 - 聯合新聞網
8/26/2022 7:00,2330,Yahoo奇摩新聞,被指「吃電怪獸」！台積電曝1證據澄清 - Yahoo奇摩新聞
8/26/2022 9:30,2330,旺得富 WantRich,《證交所》今日單一證券鉅額成交股票：台積電、中租-KY、矽力*-KY - 旺得富 WantRich
8/26/2022 10:02,2330,udn.com,被指生產耗電 台積電：是用1度可省4度 - udn.com
8/26/2022 14:58,2330,經濟日報,台積電 押長天期 - 經濟日報
8/26/2022 14:58,2330,udn.com,全民權證／台積電押長天期| 聯合新聞網 - udn.com
8/26/2022 21:30,2330,自由財經,台積電通吃HPC大單 - 自由財經
8/27/2022 2:49,2330,Yahoo奇摩新聞,被指「吃電怪獸」！台積電曝1證據澄清 - Yahoo奇摩新聞
8/27/2022 3:34,2330,今周刊-在今天看見明天,台積電(2330)技術為何在日本人眼裡是「高中生等級」？原因揭曉...他秒懂：難怪日本半導體輸慘 - 今周刊-在今天看見明天
8/27/2022 7:00,2330,自由財經,台積電通吃HPC大單 - 自由財經
8/28/2022 5:16,2330,Yahoo奇摩股市,台積電技術論壇30日登場 聚焦2奈米先進製程 - Yahoo奇摩股市
8/28/2022 7:00,2330,Yahoo奇摩股市,《台北股市》盤中焦點股：台積電、太景、永昕、貿聯、佳龍、南染 - Yahoo奇摩股市
8/28/2022 22:56,2330,蘋果新聞網,台積電技術論壇明登場聚焦先進製程及3奈米訂單｜蘋果新聞網｜蘋果日報 - 蘋果新聞網
8/29/2022 1:27,2330,udn.com,美股大跌 台積電跌破500元 - udn.com
8/29/2022 2:12,2330,旺得富 WantRich,《台北股市》盤中焦點股：台積電、太景、永昕、貿聯、佳龍、南染 - 旺得富 WantRich
8/29/2022 2:38,2330,工商時報,台積電成殺盤重心500元大關攻防戰開打 - 工商時報
8/29/2022 3:09,2330,自由財經,大摩：美晶片法 台積電約可獲20億美元補貼 - 自由財經
8/29/2022 3:38,2330,ETtoday財經雲,鮑爾放鷹嚇壞科技股 台積電重挫16元市值跌破13兆 - ETtoday財經雲
8/29/2022 4:12,2330,旺得富 WantRich,《半導體》亞洲仍為製造中心 外資續看讚台積電 - 旺得富 WantRich
8/29/2022 6:07,2330,Yahoo奇摩股市,台積電暴跌13.5元失守500 台股重摔352點跌破萬五 - Yahoo奇摩股市
8/29/2022 6:57,2330,經濟日報,晶圓雙雄同步失守關卡價 台積電跌13.5元收498.5元 - 經濟日報
8/29/2022 7:00,2330,Yahoo奇摩股市,8大官股昨買超台股近60億 逢低布局台積電、長榮等10檔 - Yahoo奇摩股市
8/29/2022 7:00,2330,Yahoo奇摩股市,《半導體》台積電舉行年度技術論壇 魏哲家提三大未來方向 - Yahoo奇摩股市
8/29/2022 7:00,2330,鉅亨新聞,台積電跳水跌破500元市值失守13兆元大關| Anue鉅亨- 台股新聞 - 鉅亨新聞
8/29/2022 10:58,2330,Yahoo奇摩股市,Fed暗示再升息 台股大跌352點 台積電跌到4字頭 - Yahoo奇摩股市
8/29/2022 12:14,2330,Yahoo奇摩股市,外資賣超台股244億元 大砍航空雙雄、台積電聯電 - Yahoo奇摩股市
8/29/2022 12:32,2330,大紀元,美晶片補助 大摩：台積電可能獲得600億 - 大紀元
8/30/2022 0:31,2330,旺得富 WantRich,《今日財經懶人包》美股遭鷹襲，道瓊收紅失敗、台積電ADR跌逾2％；投信堅守多頭崗位、連47買；重磅股減資將至，長榮、面板雙虎入列 - 旺得富 WantRich
8/30/2022 0:59,2330,Yahoo奇摩新聞,8大官股昨買超台股近60億 逢低布局台積電、長榮等10檔 - Yahoo奇摩新聞
8/30/2022 1:06,2330,ETtoday財經雲,台股反彈無力、上漲近10點 台積電小跌1元至497.5 - ETtoday財經雲
8/30/2022 1:10,2330,經濟日報,台股開盤下跌6點 台積電開盤下跌1元 - 經濟日報
8/30/2022 1:45,2330,民視新聞網FTVn,台積電早盤跌破季線 市值降至12.87兆元 - 民視新聞網FTVn
8/30/2022 2:33,2330,經濟日報,中芯7奈米只花兩年 TechInsights再舉和台積電神似之處 - 經濟日報
8/30/2022 2:41,2330,經濟日報,台積電技術論壇今登場 股價奮戰500元 - 經濟日報
8/30/2022 2:47,2330,udn.com,台積電2022技術論壇 4奈米客戶聯發科現身力挺 - udn.com
8/30/2022 2:56,2330,udn.com,魏哲家透露台積電3奈米即將量產 2奈米目標2025量產 - udn.com
8/30/2022 2:56,2330,經濟日報,台積電技術論壇今登場 魏哲家：3奈米即將量產、2奈米目標2025量產 - 經濟日報
8/30/2022 3:40,2330,udn.com,台積電魏哲家分享半導體3件事改變 和客戶緊密合作降低風險 - udn.com
8/30/2022 4:01,2330,Yahoo奇摩股市,《半導體》台積電魏哲家：供應鏈區域化 必然導致成本增加 - Yahoo奇摩股市
8/30/2022 4:12,2330,旺得富 WantRich,擺脫抄襲臭名 中芯7奈米製程練功有成 研調稱與三星、台積電、英特爾匹敵 - 旺得富 WantRich
8/30/2022 4:36,2330,工商時報,擺脫抄襲臭名 研調:中芯7奈米匹敵台積電 - 工商時報
8/30/2022 5:49,2330,ETtoday財經雲,台股小漲27點再戰萬五！ 台積電下跌2.5元、大立光漲逾2% - ETtoday財經雲
8/30/2022 6:05,2330,今周刊-在今天看見明天,舌尖上的台積電！鹿港甜點師巧做「晶圓月餅」 這次中秋節，你也能把護國神山「塊塊」吃入口 - 今周刊-在今天看見明天
8/30/2022 6:34,2330,udn.com,台積電技術論壇總裁魏哲家談先進製程 呼喚聯發科力挺 - udn.com
8/30/2022 7:00,2330,今周刊-在今天看見明天,台積電(2330)菜鳥待1年「領34個月」破200萬！為何這次開獎超安靜？他曝台積人正搶做1件事「沒空」 - 今周刊-在今天看見明天
8/30/2022 7:00,2330,經濟日報,台積電王英郎：2024年美日及高雄三座新廠同時量產 - 經濟日報
8/30/2022 7:00,2330,經濟日報,台積電萬睿洋：人類已走得比科幻電影還更遠且不僅於此 - 經濟日報
8/30/2022 7:00,2330,經濟日報,在台中租借、歸還GoShare 就抽台積電股票 - 經濟日報
8/30/2022 7:00,2330,Yahoo奇摩股市,台積電股價黑翻紅 站回季線496.5元 - Yahoo奇摩股市
8/30/2022 7:00,2330,Yahoo奇摩新聞,快訊／台股跌近80點！失守14900 台積電跌至492 - Yahoo奇摩新聞
8/30/2022 7:00,2330,Yahoo奇摩股市,MSCI盤後生效！台股漲141點站回萬五大關 台積電成交量創1個月新高 - Yahoo奇摩股市
8/30/2022 7:00,2330,財訊,今日財經大事搶先看：台積電技術論壇利多不漲，指數開盤失守14900拉回、美蘇冷戰終結者戈巴契夫過世 - 財訊
8/30/2022 8:06,2330,民視新聞網FTVn,台積電分紅來了！1年新人「狂領35個月」破200萬網驚：排隊買房了 - 民視新聞網FTVn
8/30/2022 8:19,2330,udn.com,談2024年目標 台積電王英郎：美日及高雄3座新廠同時量產 - udn.com
8/30/2022 8:54,2330,今周刊-在今天看見明天,台積電(2330)4奈米可食用？鹿港甜點師巧做「晶圓月餅」 這次中秋節，你也能把護國神山「塊塊」吃入口 - 今周刊-在今天看見明天
8/30/2022 9:44,2330,今周刊-在今天看見明天,iPhone 14亮點搶先看！台積電、大立光、鴻海…一表掌握台廠訂單占比 - 今周刊-在今天看見明天
