title,text,publish_date,source
誰偷買台積電？最後1分鐘8011張神祕買單 外資砸135億元認錯回補,"台積電（2330）今（24）日最後一盤湧入 8,011 張買單強力護盤，使其股價終場大漲65 元，以1,965元作收，創史上新高價，專家分析，今日內外資態度同步轉向偏多，其中外資在台積電單一標的即掃貨 6,887 張，若以收盤價估算，單日回補金額高達135億元。",2026-02-24 09:09,Yahoo股市
【Follow法人】外資買超627億元創史上第四大！掃貨6萬張聯電 回補台積電近7千張,"（下午4時27分更新外資買賣超個股）

台股今（24）日盤中飆逾千點，終場大漲927.56點、收在34,700.82點，無論盤中最大漲點或收盤漲點皆創下台股史上第二大漲點紀錄，盤中與收盤指數同步改寫歷史新高。三大法人合計買超836.86億元，其中外資大手筆加碼627.34億元，創下史上第4大買超紀錄，搶進聯電（2303）逾6萬張居冠，回補台積電（2330）近7千張。",2026-02-24 08:30,Yahoo股市
台積電2000元快來了！近18萬股東聽魏哲家的話 一張最高賺102萬元,"台積電（2330）今（24）日盤中來到1,975元歷史天價，回顧去年6月，董事長魏哲家曾公開信心喊話「多買台積電股票就不會錯」，如今印證其預言，若當時持有一張不賣到今天，獲利最高達102.5萬元，報酬率翻2倍。",2026-02-24 05:26,Yahoo股市
台積電2073元天價要來了？ 盤後驚見仙人指路 20張「超鉅額」交易,台積電（2330）今（24)日收在1965元史上收盤最高價，但最驚人的還在後頭，盤後鉅額交易竟爆出2073元的歷史新天價，領先市場發出「仙人指路」訊號氣氛濃厚。對此，專家表示，「天價並非空談！」,2026-02-24 09:51,Yahoo股市
美政府早警告！紐時：台灣晶片災難逼近 矽谷卻長期忽略,"本文共1328字

聯合報 編譯盧思綸／即時報導

紐約時報24日以「矽谷長期忽視的台灣晶片災難正逼近」為題發表長篇調查，指出美國政府多年來反覆警告矽谷高層，若中國對台動武、切斷晶片供應，許多美國科技企業靠庫存僅能支撐數個月，美國經濟恐瞬間癱瘓，因此敦促美企降低對台灣依賴。

但是，矽谷高層基於成本與技術的現實不願大規模轉單，直到關稅壓力升高，美國半導體投資和設廠才開始出現部分進展。不過，高階AI晶片關鍵封裝仍須回到台灣完成，也就是說，台灣晶片風險至今仍未真正解除。

若台灣晶片供應中斷 美中經濟都將遭重擊

半導體產業協會2022年機密報告指出，若台灣晶片供應中斷，將引發自大蕭條以來最大經濟危機。台灣不僅為iPhone生產晶片、供應逾半數汽車記憶體晶片，也在AI晶片組裝領域居於領先地位，牽動全球約10兆美元（約台幣314.4兆元）經濟產出。

報告警告，一旦台灣晶圓廠停工，美中經濟都將遭重擊：美國國民生產毛額將減少2.5兆美元（約台幣78.5兆元），中國則將減少2.8兆美元（約新台幣88兆元）。報告估算，美國經濟產出將大減11%，是2008年金融危機衰退幅度的2倍；中國情況更嚴重，經濟產出可能萎縮16%。

美國國安官員因此多次警告蘋果、AMD、輝達與高通等企業高層，重點都指向中國軍力擴張與2027年前後出兵台海的風險，已不能再視為抽象的地緣政治問題。

關鍵在於商業現實 美國製晶片成本較高

拜登政府為此推出晶片法案補助本土製造，但這些警告與補貼仍未能促使矽谷大規模轉單，關鍵在於商業現實。美國製晶片成本較高，業界估計比台灣高出逾25%，台灣在先進製程、量產能力與供應鏈成熟度短期難以取代。

拜登時期國安顧問蘇利文曾言，美國對台灣依賴是最大弱點之一，企業更關心季度財報與利潤率，而非地緣風險，產業普遍抱持「若出事大家一起遭殃」的心態。

紐時指出，現在台灣比以往任何時候都攸關美國經濟存亡，尤其人工智慧熱潮高度依賴台灣製造的晶片，直接推動股市與經濟成長。文章並寫道：「美國數十年對台支持主要建立在地緣政治、民主價值與圍堵中國等考量，這是一種片面的安排，對台灣有利、但對美國有風險。」

川普要求提高美國製造比重 台灣地位短期仍難撼動

川普政府上台後轉向更直接的關稅施壓，並要求提高美國製造比重，甚至希望台積電擴大投資美國或協助英特爾。報導引述兩名知情人士指出，去年1月底川普首次在白宮會見輝達執行長黃仁勳時就表示，他計畫對半導體課徵關稅，因為在台灣生產半導體有風險。

一位知情人士透露，川普告訴黃仁勳，當他與習近平談到台灣時，習會變得呼吸沉重；川普不喜歡這樣，並敦促黃仁勳在美國生產晶片。

如今設廠與採購雖開始出現進展。但是，這距離真正改變供應鏈結構仍有很長一段路。半導體工廠從建設到量產需要時間，供應鏈配套與客戶驗證也無法一蹴可幾，即使美國產能提升，台灣在先進製程與關鍵環節的地位短期仍難撼動。

去年10月，台積電亞利桑那廠生產出輝達第一顆在美製AI晶片，黃仁勳盛讚歷史時刻，是美國製造業重要一步。

紐時報導直言，黃仁勳沒說的是，這顆晶片其實尚未完成。要成為可用的高階AI晶片，仍需先進封裝等後段程序，而這道關鍵工序仍必須送回台灣完成。也就是說，美國雖已跨出把晶片做出來的一步，但在供應鏈最關鍵、也最脆弱的最後一哩，終點仍在台灣。",2026-02-24 16:09,經濟日報
大象要醒了 外資連五買、合計買超鴻海逾10萬張,"本文共898字

經濟日報 記者楊伶雯／台北即時報導

台股馬年行大運， 開紅盤以來連創高，24日收在 34,700.82點，寫收盤歷史新高，大漲927.56點，三大法人同步買超，尤其是外資買超627.33億元，統計外資買超前十名個股中，買超聯電（2303）最多，鴻海（2317）也名列其中，獲外資買超37,264張， 連五買，合計買超10萬2,860張；另外創收盤天價的台積電（2330）也獲外資轉為買超。

台股24日開高247.45點，以34,020.71點開出，大盤指數開高走高，尾盤曾拉升至34,786.42點，狂漲1,013.16點，寫歷史新高，終場則是收在34,700.82點，上漲927.56點，創歷史單日第二大漲點，漲幅2.75%， 創收盤新高，站上34,000點關卡。

台股狂飆，台積電為領軍衝關的要角，早盤以1,915元開出，約在10時25分左右出現近90度急拉，股價由1,945元一口氣衝達1,975元，大漲75元， 漲幅3.95%，寫歷史新高價，盤中貢獻大盤指數超過600點，市值激增至51兆2,166億元， 終場則是收在1,965元，上漲65元，市值50兆9,574億元，影響大盤指數約541點。

台股大漲，三大法人同步買超，統計三大法人合計買超836.86億元，外資及陸資（不含外資自營商）擴大買超627.34億元，投信買超56.04億元；自營商回補（合計）153.49億元，其中自營商（自行買賣）買超55.42億元、自營商（避險）買超98.07億元。

統計外資買超前十大個股中，買超聯電64,786張，居外資買超第一名， 面板雙虎群創（3481）、友達（2409）則是外資單日買超的第二名、第三名，被動元件 的國巨*（2327）、記憶體的力積電（6770）也獲外資青睞，進榜外資買超前十名個股中僅1檔傳產股，外資買超南亞（1303）30,292張。",2026-02-24 17:38,經濟日報
台股收盤／大漲927.56點 收34700.82點 台積電漲3.42%,"本文共396字

經濟日報 新聞部新媒體中心

2月24日台股強勢上攻，加權指數終場上漲927.56點，收在34700.82點，漲幅2.74%。盤中最低33987.51點，最高34786.42點，成交量8,371億元。上市櫃個股漲多於跌，上漲642家、下跌424家，漲停36家、跌停1家。

權值股方面，台積電（2330）收在1965元，上漲65元，漲幅3.42%，盤中最高1975元、最低1915元，成交量40,868張，成為推升指數主力。

類股方面，半導體族群表現最為強勁，上漲3.57%；電子組件上漲5.14%，電腦週邊上漲1.16%，其他電子上漲1.87%，網通上漲0.65%。金融類股相對疲弱，下跌0.22%。

個股方面，電子族群中，台達電（2308）上漲6.13%，聯發科（2454）上漲1.67%，日月光投控（3711）上漲7.38%。航運族群中，陽明海運（2609）上漲1.53%。

（此文章為AI人機協作，正確數據以主管機關為準。）",2026-02-24 14:30,經濟日報
"台股站穩34,700點大關！五天狂飆2,917點、台積電再創天價","本文共1268字

經濟日報 記者崔馨方／即時報導

台股馬年氣勢如虹，24日盤中與收盤指數同步改寫歷史新高，日K線連六紅、已連五個交易日累計狂飆2,917點，盤中最高34,786點，終場收34,700點，大漲927點、漲幅2.7%，成交金額8,370.6億元；櫃買指數強勢跟進，收漲2.5%至311點。台積電（2330）盤中以1,975元再創天價，終場則收1,965元、大漲65元。

台積電ADR周一收跌0.13%，收在370.04美元。不過，台積電今日走勢轉強，早盤股價自1,945元直衝盤中最高1,975元，大漲75元、漲幅3.9%，改寫歷史新高。事實上，在權王領軍下，台積電單日貢獻大盤逾600點，市值同步攀升至51.2兆元，成為推升指數上攻的關鍵。

觀察盤面上，強勢族群多點開花，主要集中在半導體、ABF載板、記憶體、銅箔基板、矽光子、MCU、PCB、晶片電阻、被動元件、石英元件；值得注意的是，ABF載板三雄的欣興（3037）、南電（8046）、景碩（3189）股價連二日皆續強，終場亮燈漲停。

記憶體的力積電、旺宏（2337）、晶豪科（3006）、群聯（8299）、華邦電（2344）、創見（2451）、威剛（3260）、力成（6239）、南亞科（2408）等，紛紛集體走強。34檔千金股漲多於跌，竑騰（7751）漲停最強，力旺（3529）、群聯（8299）、台光電（2383）、台達電（2308）、聯亞（3081）、創意（3443）漲逾半根漲停板，旺矽（6223）、健策（3653）、精測（6510）跌逾2%以上，表現最弱。

此外，本日價漲量增強勢股還包括：世界（5347）、燿華（2367）、光寶科（2301）、全新（2455）、華新科（2492）、日月光（3711）、聯茂（6213）、華通（2313）、波若威（3163）、金居（8358）、台玻（1802）、臻鼎-KY（4958）、訊芯-KY（6451）、力旺（3529）、長廣（7795）等；ETF方面，主動復華未來50、主動統一全球創新、主動安聯台灣、富邦科技、國泰台灣科技龍頭等，同樣價漲量增，表現強勢。

安聯投信台股團隊表示，由於台美已簽署對等貿易協定對等關稅15%不疊加與232條款最惠國待遇，約七成輸美金額屬232適用範圍，加上投資合作MOU保障，實質衝擊有限。

此外，預估今年台股企業獲利成長超過三成，電子丶金融、傳產類股均為正向成長，政策變動屬外部變數，但在既有協議框架下，對台灣供應鏈影響可控，中期趨勢不變，市場焦點仍將回歸產業基本面與企業獲利表現。

統一投顧補充，輝達（NVIDIA）將於25日美股盤後公布財報，3月輝達GTC大會亦將登場，執行長黃仁勳預告將發表震撼產品，市場高度關注AI後市動能。

不過，川普宣布依《貿易法》122條款對各國課徵15%全球性關稅，美伊情勢等，均可能干擾投資人情緒。須留意指數短線恐於高檔震盪，但中期仍偏多看待。

布局方向上，建議聚焦台積電及先進製程、先進封裝供應鏈，高速傳輸（含光通訊）、載板與PCB，以及重電能源、衛星航太軍工、材料升級或短缺概念股，另散裝航運與生技族群亦可留意。",2026-02-24 13:55,經濟日報
台積電發威衝上1975元 台股今日早盤大漲近千點,"本文共259字

聯合報 記者朱漢崙/台北即時報導

台積電今日再發威，帶動台股大盤指數今日早盤上漲近千點。台積電盤中再現新天價，最高來到每股1975元，帶動整個大盤氣勢上衝，大盤指數在接近下午1時最高來到34731點，上漲957點。",2026-02-24 13:27,經濟日報
跟著台積電一起飛！特化再飆高 這兩檔漲停鎖死,"本文共714字

經濟日報 記者馬琬淳／台北即時報導

台股24日揚眉吐氣，盤中大漲近900點，合計開紅盤兩天即上漲千點，台積電（2330）盤中一度強漲近4%，衝達1,975元新高價。類股部分今日PCB相關族群也走勢強勁，燿華（2367）、金居（8358）盤中漲停亮燈，玻纖布類股台玻（1802）也衝上漲停板。特化股也上漲同慶，永光（1711）、雙鍵（4764）衝漲停，長興（1717）、國精化（4722）大漲逾5%。

台積電不受美股下跌、ADR小跌影響，今盤中大漲逾3%，一度漲至1,975元，再刷歷史新高，往兩千元關卡邁進。台積電大漲帶動相關供應鏈大漲，特化族群中永光漲停至27.8元，長興上漲逾5%，三福化（4755）盤中上漲逾3%。

永光感光型聚醯亞胺（PSPI）產品目前正處於驗證階段，PSPI為先進封裝關鍵材料之一，去年日本大廠傳出供不應求，國內晶圓業者開始尋找本土供應商，永光的EverPI P07正型聚醯亞胺產品因此獲得與客戶洽談、送樣及評估的機會。

永光旗下電子化學品包含光阻劑、顯影液、研磨液、濕式製程化學品（用於半導體及基板之表面清潔、電鍍等製程）、熱固化及光固化功能性油墨、功能性化學品等。2025年全年度電子化學品占營收比重，已超過24%。

永光今年1月營收達7.24億元，年月雙增，月增9.7%，為連續三個月成長，年增12.7%，年增率為自去年5月以來首度轉正。

雙鍵切入銅箔基板（CCL）的樹脂材料供應鏈，去年開始生產M7基板所需的通用型改性聚苯醚樹脂（MPPO），法人表示，雙鍵今年將升級生產M8所需的HC材。雙鍵用於高階CCL的樹脂材料目前占營收比重逾一成，隨著高階板材世代推進，公司正將產能推向逐步倍增計畫。

雙鍵1月營收2.55億元，月減7%，年增1.3%。",2026-02-24 12:23,經濟日報
