date,stock_id,source,title,sentiment_score,impact_intensity,certainty,time_horizon,summary,evidence,reason
1/1/2024 3:00,2330,經濟日報,晶圓雙雄再成焦點 台積電平穩向上、聯電爆量上揚 該買哪一檔？ - 經濟日報,0.8,0.9,0.7,0.4,晶圓雙雄台積電和聯電受到關注,新聞標題提到晶圓雙雄再成焦點,台積電平穩向上、聯電爆量上揚，表明兩檔股價有所升高
1/1/2024 8:00,2330,Yahoo奇摩股市,【台積電股東爆下車潮2】600元是散戶心中天花板價？專家這麼看 - Yahoo奇摩股市,-0.6,0.7,0.8,0.4,台積電股東爆下車潮，可能對股票價格產生負面影響。,標題中提到「爆下車潮」，表明投資人正在離開市場,此新聞可能會增加股民的恐慌心理，進而影響股價。
1/1/2024 8:00,2330,Yahoo奇摩股市,【台積電股東爆下車潮1】台積電股價創21月新高31萬股東卻下車了 - Yahoo奇摩股市,0.2,0.6,0.8,0.4,台積電股價創21月新高，但卻有31萬股東下車，表明市場預期中可能有一些不確定性。,『31萬股東下車』,新聞標題指出台積電股價創21月新高，表明短期來看是利多，但有大量股東下車，這意味著市場預期中可能有一些不確定性，因此評分設置為 0.2。
1/1/2024 8:00,2330,Yahoo奇摩新聞,台積電今年重返成長軌道 營收挑戰2.5兆元…年增逾15% - Yahoo奇摩新聞,0.7,0.9,0.8,0.4,台積電今年預期重返成長軌道，營收挑戰2.5兆元,新聞標題提及台積電今年的預期成長和營收挑戰,該公司的股票代號 2330 可能因為該新聞而增加投資人的信心和風險偏好
1/1/2024 8:00,2330,Yahoo奇摩新聞,「短命千金」拖累台股！航運撐盤、台積電終場給力上甩台股跌77點至17853點 - Yahoo奇摩新聞,-0.7,0.6,0.8,0.4,台股受短命千金拖累,航運撐盤、台積電終場給力上甩但仍跌77點至17853點,"標題中提到 ""短命千金"" 拖累台股，表明市場認為某些股票的成長不夠令人滿意"
1/1/2024 10:06,2330,自由財經,台積電被列中企市值500強榜首 慘遭中網友酸爆 - 自由財經,0.5,0.7,0.8,0.4,台積電被列中企市值500強榜首,新聞標題,新聞標題提到台積電獲得了重要榮譽，表明公司的實力和競爭力
1/1/2024 14:16,2330,Yahoo奇摩新聞,台積電18日法說重回實體模式 法人看登700元 - Yahoo奇摩新聞,0.7,0.9,0.8,0.4,台積電可能因法說重回實體模式而股價上漲,法人看跌700元,新聞標題暗示了市場對台積電未來表現的正面預期
1/1/2024 22:29,2330,Yahoo奇摩新聞,台積電18日辦實體法說 四年來首見 - Yahoo奇摩新聞,0.7,0.8,0.9,0.4,台積電首次舉辦實體法說會,新聞標題提及四年來首見的實體法說會,公司透過法說會與投資人溝通，表明對於股價走勢有所關注
1/2/2024 0:35,2330,Yahoo奇摩新聞,台積電被列「中企500強榜首」 中國網友酸：意淫傷身 - Yahoo奇摩新聞,0.2,0.6,0.8,0.4,新聞標題對台積電的影響有限,標題中提及台積電被列「中企500強榜首」，但沒有具體數據或預測表現,標題與實際公司表現之間缺乏直接關聯，無法評估對股價的影響
1/2/2024 1:40,2330,Yahoo奇摩股市,【台積電股東爆下車潮2】600元是散戶心中天花板價？專家這麼看 - Yahoo奇摩股市,-0.5,0.7,0.8,0.4,台積電股東下車潮可能影響公司價格,"標題提到「爆下車潮2」及""600元是散戶心中天花板價？""",新聞標題表明市場對台積電有疑問，短期來看可能會對公司價格產生一定影響
